aq_name,longitude,latitude,nearest_gw,gw_latitude,gw_longitude,dist_gw,nearest_ow,ow_latitude,ow_longitude,dist_ow
dongsi_aq,116.417,39.929,beijing_grid_303,39.9,116.4,0.001130000000000062,chaoyang_meo,39.9525,116.50083329999998,0.007580272188886692
tiantan_aq,116.40700000000001,39.885999999999996,beijing_grid_303,39.9,116.4,0.0002450000000001512,beijing_meo,39.80611111,116.46944440000001,0.01028153783679137
guanyuan_aq,116.339,39.929,beijing_grid_282,39.9,116.3,0.0023620000000003165,hadian_meo,39.98694444,116.29055559999999,0.005704418018274388
wanshouxigong_aq,116.352,39.878,beijing_grid_303,39.9,116.4,0.0027880000000001072,fengtai_meo,39.87027778,116.2452778,0.011449260654569906
aotizhongxin_aq,116.397,39.982,beijing_grid_304,40.0,116.4,0.0003330000000000253,hadian_meo,39.98694444,116.29055559999999,0.01135485777827684
nongzhanguan_aq,116.461,39.937,beijing_grid_324,39.9,116.5,0.0028900000000000436,chaoyang_meo,39.9525,116.50083329999998,0.001826941788888797
wanliu_aq,116.287,39.986999999999995,beijing_grid_283,40.0,116.3,0.00033799999999990245,hadian_meo,39.98694444,116.29055559999999,1.2645378273487817e-05
beibuxinqu_aq,116.17399999999999,40.09,beijing_grid_263,40.1,116.2,0.0007760000000005042,pingchang_meo,40.22333333,116.21166670000001,0.019196557177779967
zhiwuyuan_aq,116.20700000000001,40.001999999999995,beijing_grid_262,40.0,116.2,5.3000000000051385e-05,shijingshan_meo,39.9425,116.20527779999999,0.003543215972839201
fengtaihuayuan_aq,116.279,39.863,beijing_grid_282,39.9,116.3,0.0018099999999999618,fengtai_meo,39.87027778,116.2452778,0.0011901528545684172
yungang_aq,116.146,39.824,beijing_grid_239,39.8,116.1,0.00269200000000064,mentougou_meo,39.88777778,116.1563889,0.0041755344649386
gucheng_aq,116.184,39.914,beijing_grid_261,39.9,116.2,0.0004520000000002521,shijingshan_meo,39.9425,116.20527779999999,0.0012649947728397598
fangshan_aq,116.13600000000001,39.742,beijing_grid_238,39.7,116.1,0.003060000000000658,fangshan_meo,39.77305556,116.19416670000001,0.004347812795804076
daxing_aq,116.404,39.718,beijing_grid_301,39.7,116.4,0.00033999999999995,daxing_meo,39.71861111,116.35444440000002,0.002456130946789774
yizhuang_aq,116.506,39.795,beijing_grid_323,39.8,116.5,6.099999999995726e-05,beijing_meo,39.80611111,116.46944440000001,0.0014597686567910829
tongzhou_aq,116.663,39.885999999999996,beijing_grid_366,39.9,116.7,0.0015650000000005354,tongzhou_meo,39.8475,116.75666670000001,0.01025570068889259
shunyi_aq,116.655,40.126999999999995,beijing_grid_368,40.1,116.7,0.002753999999999825,shunyi_meo,40.12666667,116.61527779999999,0.001577964281730021
pingchang_aq,116.23,40.217,beijing_grid_264,40.2,116.2,0.001188999999999929,pingchang_meo,40.22333333,116.21166670000001,0.00037622095777875813
mentougou_aq,116.10600000000001,39.937,beijing_grid_240,39.9,116.1,0.0014050000000001017,mentougou_meo,39.88777778,116.1563889,0.004961868184936845
pinggu_aq,117.1,40.143,beijing_grid_452,40.1,117.1,0.0018489999999999364,pinggu_meo,40.16944444,117.1177778,0.0010153585797537004
huairou_aq,116.62799999999999,40.328,beijing_grid_349,40.3,116.6,0.0015679999999998536,huairou_meo,40.35777778,116.62694440000001,0.0008878304730881221
miyun_aq,116.83200000000001,40.37,beijing_grid_392,40.4,116.8,0.001924000000000752,miyun_meo,40.3775,116.86416670000001,0.0010909465888903108
yanqin_aq,115.97200000000001,40.453,beijing_grid_225,40.5,116.0,0.002992999999999251,yanqing_meo,40.44944444,115.9688889,2.2320950123693558e-05
dingling_aq,116.22,40.292,beijing_grid_265,40.3,116.2,0.00046399999999976994,pingchang_meo,40.22333333,116.21166670000001,0.004784555457778581
badaling_aq,115.988,40.365,beijing_grid_224,40.4,116.0,0.001368999999999772,yanqing_meo,40.44944444,115.9688889,0.007496097590123501
miyunshuiku_aq,116.911,40.499,beijing_grid_414,40.5,116.9,0.00012199999999990029,miyun_meo,40.3775,116.86416670000001,0.016955607988890065
donggaocun_aq,117.12,40.1,beijing_grid_452,40.1,117.1,0.00040000000000040925,pinggu_meo,40.16944444,117.1177778,0.004827468419753354
yongledian_aq,116.78299999999999,39.711999999999996,beijing_grid_385,39.7,116.8,0.0004330000000001844,tongzhou_meo,39.8475,116.75666670000001,0.019053692688888853
yufa_aq,116.3,39.52,beijing_grid_278,39.5,116.3,0.0004000000000001251,daxing_meo,39.71861111,116.35444440000002,0.042410565706792386
liulihe_aq,116.0,39.58,beijing_grid_216,39.6,116.0,0.0004000000000001251,fangshan_meo,39.77305556,116.19416670000001,0.0749711566358097
qianmen_aq,116.395,39.899,beijing_grid_303,39.9,116.4,2.6000000000091973e-05,chaoyang_meo,39.9525,116.50083329999998,0.014062937388887054
yongdingmennei_aq,116.39399999999999,39.876,beijing_grid_303,39.9,116.4,0.000612000000000217,beijing_meo,39.80611111,116.46944440000001,0.010576314436794836
xizhimenbei_aq,116.34899999999999,39.954,beijing_grid_283,40.0,116.3,0.004516999999999196,hadian_meo,39.98694444,116.29055559999999,0.004501084018273583
nansanhuan_aq,116.368,39.856,beijing_grid_303,39.9,116.4,0.0029600000000004137,beijing_meo,39.80611111,116.46944440000001,0.012779867636795915
dongsihuan_aq,116.48299999999999,39.939,beijing_grid_324,39.9,116.5,0.0018100000000004592,chaoyang_meo,39.9525,116.50083329999998,0.0005002765888897424
