,time,time_dt,year,month,day,weekday,hour
0,2017-01-01 14:00:00,2017-01-01 14:00:00,2017,1,1,6,14
1,2017-01-01 15:00:00,2017-01-01 15:00:00,2017,1,1,6,15
2,2017-01-01 16:00:00,2017-01-01 16:00:00,2017,1,1,6,16
3,2017-01-01 17:00:00,2017-01-01 17:00:00,2017,1,1,6,17
4,2017-01-01 18:00:00,2017-01-01 18:00:00,2017,1,1,6,18
5,2017-01-01 19:00:00,2017-01-01 19:00:00,2017,1,1,6,19
6,2017-01-01 20:00:00,2017-01-01 20:00:00,2017,1,1,6,20
7,2017-01-01 21:00:00,2017-01-01 21:00:00,2017,1,1,6,21
8,2017-01-01 22:00:00,2017-01-01 22:00:00,2017,1,1,6,22
9,2017-01-01 23:00:00,2017-01-01 23:00:00,2017,1,1,6,23
10,2017-01-02 00:00:00,2017-01-02 00:00:00,2017,1,2,0,0
11,2017-01-02 01:00:00,2017-01-02 01:00:00,2017,1,2,0,1
12,2017-01-02 02:00:00,2017-01-02 02:00:00,2017,1,2,0,2
13,2017-01-02 03:00:00,2017-01-02 03:00:00,2017,1,2,0,3
14,2017-01-02 04:00:00,2017-01-02 04:00:00,2017,1,2,0,4
15,2017-01-02 05:00:00,2017-01-02 05:00:00,2017,1,2,0,5
16,2017-01-02 06:00:00,2017-01-02 06:00:00,2017,1,2,0,6
17,2017-01-02 07:00:00,2017-01-02 07:00:00,2017,1,2,0,7
18,2017-01-02 08:00:00,2017-01-02 08:00:00,2017,1,2,0,8
19,2017-01-02 09:00:00,2017-01-02 09:00:00,2017,1,2,0,9
20,2017-01-02 10:00:00,2017-01-02 10:00:00,2017,1,2,0,10
21,2017-01-02 11:00:00,2017-01-02 11:00:00,2017,1,2,0,11
22,2017-01-02 12:00:00,2017-01-02 12:00:00,2017,1,2,0,12
23,2017-01-02 13:00:00,2017-01-02 13:00:00,2017,1,2,0,13
24,2017-01-02 14:00:00,2017-01-02 14:00:00,2017,1,2,0,14
25,2017-01-02 15:00:00,2017-01-02 15:00:00,2017,1,2,0,15
26,2017-01-02 16:00:00,2017-01-02 16:00:00,2017,1,2,0,16
27,2017-01-02 17:00:00,2017-01-02 17:00:00,2017,1,2,0,17
28,2017-01-02 18:00:00,2017-01-02 18:00:00,2017,1,2,0,18
29,2017-01-02 19:00:00,2017-01-02 19:00:00,2017,1,2,0,19
30,2017-01-02 20:00:00,2017-01-02 20:00:00,2017,1,2,0,20
31,2017-01-02 21:00:00,2017-01-02 21:00:00,2017,1,2,0,21
32,2017-01-02 22:00:00,2017-01-02 22:00:00,2017,1,2,0,22
33,2017-01-02 23:00:00,2017-01-02 23:00:00,2017,1,2,0,23
34,2017-01-03 00:00:00,2017-01-03 00:00:00,2017,1,3,1,0
35,2017-01-03 01:00:00,2017-01-03 01:00:00,2017,1,3,1,1
36,2017-01-03 02:00:00,2017-01-03 02:00:00,2017,1,3,1,2
37,2017-01-03 03:00:00,2017-01-03 03:00:00,2017,1,3,1,3
38,2017-01-03 04:00:00,2017-01-03 04:00:00,2017,1,3,1,4
39,2017-01-03 05:00:00,2017-01-03 05:00:00,2017,1,3,1,5
40,2017-01-03 06:00:00,2017-01-03 06:00:00,2017,1,3,1,6
41,2017-01-03 07:00:00,2017-01-03 07:00:00,2017,1,3,1,7
42,2017-01-03 08:00:00,2017-01-03 08:00:00,2017,1,3,1,8
43,2017-01-03 09:00:00,2017-01-03 09:00:00,2017,1,3,1,9
44,2017-01-03 10:00:00,2017-01-03 10:00:00,2017,1,3,1,10
45,2017-01-03 11:00:00,2017-01-03 11:00:00,2017,1,3,1,11
46,2017-01-03 12:00:00,2017-01-03 12:00:00,2017,1,3,1,12
47,2017-01-03 13:00:00,2017-01-03 13:00:00,2017,1,3,1,13
48,2017-01-03 14:00:00,2017-01-03 14:00:00,2017,1,3,1,14
49,2017-01-03 15:00:00,2017-01-03 15:00:00,2017,1,3,1,15
50,2017-01-03 16:00:00,2017-01-03 16:00:00,2017,1,3,1,16
51,2017-01-03 17:00:00,2017-01-03 17:00:00,2017,1,3,1,17
52,2017-01-03 18:00:00,2017-01-03 18:00:00,2017,1,3,1,18
53,2017-01-03 19:00:00,2017-01-03 19:00:00,2017,1,3,1,19
54,2017-01-03 20:00:00,2017-01-03 20:00:00,2017,1,3,1,20
55,2017-01-03 21:00:00,2017-01-03 21:00:00,2017,1,3,1,21
56,2017-01-03 22:00:00,2017-01-03 22:00:00,2017,1,3,1,22
57,2017-01-03 23:00:00,2017-01-03 23:00:00,2017,1,3,1,23
58,2017-01-04 00:00:00,2017-01-04 00:00:00,2017,1,4,2,0
59,2017-01-04 01:00:00,2017-01-04 01:00:00,2017,1,4,2,1
60,2017-01-04 02:00:00,2017-01-04 02:00:00,2017,1,4,2,2
61,2017-01-04 03:00:00,2017-01-04 03:00:00,2017,1,4,2,3
62,2017-01-04 04:00:00,2017-01-04 04:00:00,2017,1,4,2,4
63,2017-01-04 05:00:00,2017-01-04 05:00:00,2017,1,4,2,5
64,2017-01-04 06:00:00,2017-01-04 06:00:00,2017,1,4,2,6
65,2017-01-04 07:00:00,2017-01-04 07:00:00,2017,1,4,2,7
66,2017-01-04 08:00:00,2017-01-04 08:00:00,2017,1,4,2,8
67,2017-01-04 09:00:00,2017-01-04 09:00:00,2017,1,4,2,9
68,2017-01-04 10:00:00,2017-01-04 10:00:00,2017,1,4,2,10
69,2017-01-04 11:00:00,2017-01-04 11:00:00,2017,1,4,2,11
70,2017-01-04 12:00:00,2017-01-04 12:00:00,2017,1,4,2,12
71,2017-01-04 13:00:00,2017-01-04 13:00:00,2017,1,4,2,13
72,2017-01-04 14:00:00,2017-01-04 14:00:00,2017,1,4,2,14
73,2017-01-04 15:00:00,2017-01-04 15:00:00,2017,1,4,2,15
74,2017-01-04 16:00:00,2017-01-04 16:00:00,2017,1,4,2,16
75,2017-01-04 17:00:00,2017-01-04 17:00:00,2017,1,4,2,17
76,2017-01-04 18:00:00,2017-01-04 18:00:00,2017,1,4,2,18
77,2017-01-04 19:00:00,2017-01-04 19:00:00,2017,1,4,2,19
78,2017-01-04 20:00:00,2017-01-04 20:00:00,2017,1,4,2,20
79,2017-01-04 21:00:00,2017-01-04 21:00:00,2017,1,4,2,21
80,2017-01-04 22:00:00,2017-01-04 22:00:00,2017,1,4,2,22
81,2017-01-04 23:00:00,2017-01-04 23:00:00,2017,1,4,2,23
82,2017-01-05 00:00:00,2017-01-05 00:00:00,2017,1,5,3,0
83,2017-01-05 01:00:00,2017-01-05 01:00:00,2017,1,5,3,1
84,2017-01-05 02:00:00,2017-01-05 02:00:00,2017,1,5,3,2
85,2017-01-05 03:00:00,2017-01-05 03:00:00,2017,1,5,3,3
86,2017-01-05 04:00:00,2017-01-05 04:00:00,2017,1,5,3,4
87,2017-01-05 05:00:00,2017-01-05 05:00:00,2017,1,5,3,5
88,2017-01-05 06:00:00,2017-01-05 06:00:00,2017,1,5,3,6
89,2017-01-05 07:00:00,2017-01-05 07:00:00,2017,1,5,3,7
90,2017-01-05 08:00:00,2017-01-05 08:00:00,2017,1,5,3,8
91,2017-01-05 09:00:00,2017-01-05 09:00:00,2017,1,5,3,9
92,2017-01-05 10:00:00,2017-01-05 10:00:00,2017,1,5,3,10
93,2017-01-05 11:00:00,2017-01-05 11:00:00,2017,1,5,3,11
94,2017-01-05 12:00:00,2017-01-05 12:00:00,2017,1,5,3,12
95,2017-01-05 13:00:00,2017-01-05 13:00:00,2017,1,5,3,13
96,2017-01-05 14:00:00,2017-01-05 14:00:00,2017,1,5,3,14
97,2017-01-05 15:00:00,2017-01-05 15:00:00,2017,1,5,3,15
98,2017-01-05 16:00:00,2017-01-05 16:00:00,2017,1,5,3,16
99,2017-01-05 17:00:00,2017-01-05 17:00:00,2017,1,5,3,17
100,2017-01-05 18:00:00,2017-01-05 18:00:00,2017,1,5,3,18
101,2017-01-05 19:00:00,2017-01-05 19:00:00,2017,1,5,3,19
102,2017-01-05 20:00:00,2017-01-05 20:00:00,2017,1,5,3,20
103,2017-01-05 21:00:00,2017-01-05 21:00:00,2017,1,5,3,21
104,2017-01-05 22:00:00,2017-01-05 22:00:00,2017,1,5,3,22
105,2017-01-05 23:00:00,2017-01-05 23:00:00,2017,1,5,3,23
106,2017-01-06 00:00:00,2017-01-06 00:00:00,2017,1,6,4,0
107,2017-01-06 01:00:00,2017-01-06 01:00:00,2017,1,6,4,1
108,2017-01-06 02:00:00,2017-01-06 02:00:00,2017,1,6,4,2
109,2017-01-06 03:00:00,2017-01-06 03:00:00,2017,1,6,4,3
110,2017-01-06 04:00:00,2017-01-06 04:00:00,2017,1,6,4,4
111,2017-01-06 05:00:00,2017-01-06 05:00:00,2017,1,6,4,5
112,2017-01-06 06:00:00,2017-01-06 06:00:00,2017,1,6,4,6
113,2017-01-06 07:00:00,2017-01-06 07:00:00,2017,1,6,4,7
114,2017-01-06 08:00:00,2017-01-06 08:00:00,2017,1,6,4,8
115,2017-01-06 09:00:00,2017-01-06 09:00:00,2017,1,6,4,9
116,2017-01-06 10:00:00,2017-01-06 10:00:00,2017,1,6,4,10
117,2017-01-06 11:00:00,2017-01-06 11:00:00,2017,1,6,4,11
118,2017-01-06 12:00:00,2017-01-06 12:00:00,2017,1,6,4,12
119,2017-01-06 13:00:00,2017-01-06 13:00:00,2017,1,6,4,13
120,2017-01-06 14:00:00,2017-01-06 14:00:00,2017,1,6,4,14
121,2017-01-06 15:00:00,2017-01-06 15:00:00,2017,1,6,4,15
122,2017-01-06 16:00:00,2017-01-06 16:00:00,2017,1,6,4,16
123,2017-01-06 17:00:00,2017-01-06 17:00:00,2017,1,6,4,17
124,2017-01-06 18:00:00,2017-01-06 18:00:00,2017,1,6,4,18
125,2017-01-06 19:00:00,2017-01-06 19:00:00,2017,1,6,4,19
126,2017-01-06 20:00:00,2017-01-06 20:00:00,2017,1,6,4,20
